x y
197.0 1483.0
137.0 1458.0
74.0 1477.0
254.0 1486.0
330.0 1515.0
190.0 1379.0
425.0 1317.0
537.0 1489.0
492.0 1360.0
583.0 1311.0
340.0 1304.0
218.0 1303.0
218.0 1303.0
263.0 1315.0
284.0 1276.0
354.0 1296.0
312.0 1476.0
